alarm,тривога
airport,аеропорт
age,вік
bell,дзвінок
bear,ведмідь
author,автор
chapter,розділ
account,рахунок
author,автор
battle,битва
ability,здатність
charge,звинувачення
break,перерва
beer,пиво
balance,баланс
act,вчинок
benefit,вигода
change,зміна
career,кар'єра
basket,кошик
button,кнопка
bottom,низ
beginning,початок
bottom,низ
bread,хліб
change,зміна
case,випадок
character,персонаж
book,книга
break,перерва
blue,синій
butter,масло
agency,агенція
ability,здатність
career,кар'єра
bridge,міст
bathroom,ванна кімната
benefit,вигода
agreement,угода
boat,човен
attack,атака
blue,синій
blow,удар
card,картка
addition,додавання
box,коробка
camera,камера
cheese,сир
box,коробка
boy,хлопець
airport,аеропорт
change,зміна
bell,дзвінок
camera,камера
business,бізнес
camera,камера
bell,дзвінок
bar,бар
career,кар'єра
blow,удар
brother,брат
baby,дитина
battle,битва
charity,благодійність
book,книга
ability,здатність
back,спина
butter,масло
agent,агент
affair,справа
book,книга
balance,баланс
animal,тварина
boat,човен
check,перевірка
addition,додавання
air,повітря
breakfast,сніданок
celebration,святкування
art,мистецтво
car,автомобіль
breakfast,сніданок
author,автор
chapter,розділ
brother,брат
capital,столиця
bear,ведмідь
base,основа
cancer,рак
attack,атака
addition,додавання
bottle,пляшка
bite,укус
beginning,початок
art,мистецтво
bottle,пляшка
card,картка
bear,ведмідь
celebration,святкування
bag,сумка
bread,хліб
boat,човен
blow,удар
army,армія
break,перерва
car,автомобіль
bag,сумка
birth,народження
bottom,низ
bank,банк
body,тіло
capital,столиця
case,випадок
blow,удар
attack,атака
chance,шанс
brother,брат
agreement,угода
character,персонаж
bank,банк
back,спина
bathroom,ванна кімната
addition,додавання
baby,дитина
agent,агент
ball,м'яч
age,вік
bathroom,ванна кімната
boat,човен
car,автомобіль
beer,пиво
blue,синій
board,дошка
card,картка
campaign,кампанія
chapter,розділ
cat,кіт
back,спина
author,автор
character,персонаж
butter,масло
board,дошка
agreement,угода
cancer,рак
act,вчинок
attention,увага
bottom,низ
building,будівля
alarm,тривога
boy,хлопець
bed,ліжко
business,бізнес
basket,кошик
bag,сумка
blow,удар
brain,мозок
car,автомобіль
bottle,пляшка
capital,столиця
airport,аеропорт
bite,укус
advice,порада
breakfast,сніданок
bell,дзвінок
benefit,вигода
benefit,вигода
beauty,краса
area,область
account,рахунок
card,картка
beach,пляж
blood,кров
bed,ліжко
card,картка
basket,кошик
bathroom,ванна кімната
agency,агенція
blood,кров
beginning,початок
basket,кошик
bridge,міст
agency,агенція
attack,атака
cheese,сир
attention,увага
bear,ведмідь
advice,порада
blow,удар
butter,масло
blow,удар
ball,м'яч
candidate,кандидат
agency,агенція
area,область
