English,Ukrainian
along,уздовж
annual,щорічний
analyze,аналізувати
ability,здібність
anybody,хтось
along,уздовж
admit,визнавати
alternative,альтернатива
agree,погоджуватись
ahead,вперед
annoy,дратувати
absence,відсутність
afraid,наляканий
although,хоча
abandon,покидати
answer,відповідь
actor,актор
advise,радити
anyway,все одно
address,адреса
ability,здібність
analyze,аналізувати
already,вже
album,альбом
add,додавати
action,дія
anxiety,тривожність
adapt,адаптувати
absence,відсутність
appearance,зовнішність
against,проти
advantage,перевага
alone,наодинці
able,здатний
admire,захоплюватися
amount,кількість
among,серед
act,діяти; вчинок
also,також
anxiety,тривожність
address,адреса
animal,тварина
all,усе
anxiety,тривожність
anywhere,де-небудь
ability,здібність
active,активний
agent,агент
annual,щорічний
alone,наодинці
agriculture,сільське господарство
apple,яблуко
aid,допомога
again,знову
alternative,альтернатива
aggressive,агресивний
alcohol,алкоголь
advance,просування
answer,відповідь
advise,радити
administration,адміністрація
announce,оголошувати
actor,актор
advice,порада
according,згідно з
allow,дозволяти
advance,просування
appearance,зовнішність
accomplish,досягати
administration,адміністрація
again,знову
anywhere,де-небудь
aim,ціль
apart,окремо
adopt,усиновити; приймати
agriculture,сільське господарство
about,про
accept,приймати
anybody,хтось
apparent,очевидний
actually,насправді
according,згідно з
ability,здібність
adequate,достатній
anyone,хто-небудь
address,адреса
about,про
announce,оголошувати
according,згідно з
action,дія
anger,гнів
anticipate,очікувати
administration,адміністрація
actor,актор
admire,захоплюватися
almost,майже
activity,діяльність
alarm,тривога
actor,актор
advise,радити
answer,відповідь
anymore,більше не
annoy,дратувати
all,усе
agent,агент
agree,погоджуватись
anyway,все одно
airport,аеропорт
according,згідно з
achieve,досягати
apology,вибачення
already,вже
anybody,хтось
apple,яблуко
another,інший
alone,наодинці
additional,додатковий
abstract,абстрактний
anger,гнів
anybody,хтось
afraid,наляканий
aid,допомога
actual,фактичний
annoy,дратувати
adequate,достатній
apart,окремо
across,через
annual,щорічний
analysis,аналіз
about,про
appear,з’являтись
action,дія
administration,адміністрація
anything,що-небудь
anymore,більше не
album,альбом
airport,аеропорт
adequate,достатній
against,проти
alter,змінювати
anxiety,тривожність
adult,дорослий
account,рахунок; звіт
agent,агент
adjust,налаштовувати
agent,агент
admire,захоплюватися
access,доступ
among,серед
access,доступ
agreement,угода
another,інший
age,вік
analyze,аналізувати
action,дія
ancient,стародавній
actor,актор
after,після
aim,ціль
anything,що-небудь
agree,погоджуватись
apart,окремо
action,дія
advice,порада
adult,дорослий
although,хоча
age,вік
ambition,амбіція
air,повітря
appearance,зовнішність
although,хоча
anyone,хто-небудь
anybody,хтось
agree,погоджуватись
about,про
annual,щорічний
answer,відповідь
